Action Rotate,Action Translate,Action Scale,World Coordinates,Local Coordinates,Camera Projection Coordinates,Action Select,Lightning,Save Project,Open Project,Create Project,Reload Project,Undo Last Action,Redo Last Action,Open IDE,Reload Game,Build Project,Build N Run Project,Cancel Build,Create Package,Create Folder,Display Properties,Rename Package,Rename Folder,Delete Selected Item,Expand Asset Folders,Expand All,Collapse All,Show in Explorer
Girar,Move,Redimensionar,Mundo,Local Coordinates,Camara,Seleccionar,Alumbrado,Guardar,Empezar,Create Project,Proyecto Recargar,Undo,Redo,Abrir IDE,Juego Recargar,Build,Construir y Correr,Build Cancelar,Paquete Crear,Folder Crear,Propiedades Mostrar,Renombrar Paquete,Folder Renombrar,Item Borrar,Folder Expandir,Expandir Todos,Collapsar Todos,Explorador Mostrar
Rotar,Mover,Redimensionar,World View,Locales,Camara Coordenadas,Seleccionar,Light,Save,Open,Create P,Recargar Proyecto,Deshacer accion,Rehacer accion,Abrir IDE,Recargar Juego,Build Project,Build and Run,Build Cancelar,Package Create,Folder Create,Propiedades Mostrar,Renombrar Paquete,Folder Renombrar,Item Delete,Folder Expandir,Expand All,Collapsar Todos,Show in Explorer
Voltear,Mover,Redimensionar,Mundo,Local,Camara,Escoger,Luz,Guardar,Open,Create P,Recargar Proyecto,Deshacer accion,Rehacer,Open IDE,Recargar Juego,Contruir Proyecto,Build and Run,Build Cancel,Create Package,Folder Create,Property Display,Rename Package,Package Folder,Item Borrar,Expand Folder,Todos Expandir,Collapsar Todos,Explorador Mostrar
Voltear,Translate,Calibrar,World Coordinate,Coordenada Local,Coordenada Camara,Destacar,Alumbrado,Save,Iniciar,Create Project,Reload Project,Deshacer,Rehacer accion,IDE,Game Reload,Proyecto Construir,Construir y Correr,Build Cancel,Paquete Crear,Create Folder,Propiedades Mostrar,Renombrar Paquete,Folder Renombrar,Borrar Item,Folder Expand,All Expand,Collapsar Todos,Show in Explorer
Rotate,Translate,Calibrar,Mundo,Local Coordinates,Coordenada Camara,Destacar,Alumbrado,Save,Open,Create Project,Proyecto Recargar,Undo,Redo,Abrir IDE,Reload Game,Build,Contruir y Comenzar,Cancel Build,Crear Paquete,Crear Folder,Propiedades Mostrar,Renombrar Paquete,Folder Renombrar,Item Borrar,Expandir Folder,Todos Expandir,Collapsar Todos,Explorador Mostrar
Rotate,Mover,Redimensionar,Coordenadas Mundo,Local,Coordenada Camara,Destacar,Alumbrado,Save,Empezar,Crear Proyecto,Reload Project,Deshacer,Redo Last Action,Abrir IDE,Juego Recargar,Contruir Proyecto,Construir y Correr,Cancelar Build,Paquete Crear,Crear Folder,Mostrar Propiedades,Package Rename,Folder Renombrar,Item Borrar,Expandir Folder,Expand All,Collapsar Todos,Explorador Mostrar
Girar,Move,Calibrar,World Coordinate,Locales,Camara Coordenadas,Seleccionar,Luz,Save,Abrir,Proyecto Crear,Reload Project,Deshacer,Rehacer,Open IDE,Game Reload,Contruir Proyecto,Build and Start,Cancelar Build,Paquete Crear,Create Folder,Mostrar Propiedades,Package Rename,Package Folder,Item Borrar,Folder Expandir,All Expand,Todos Collapsar,Show in Explorer
Rotar,Transladar,Redimensionar,World View,Local,Camara Coordenada,Escoger,Iluminacion,Registrar,Iniciar,Crear Proyecto,Reload P,Undo Last Action,Redo,Abrir IDE,Juego Recargar,Contruir Proyecto,Contruir y Comenzar,Build Cancel,Paquete Crear,Folder Crear,Propiedades Mostrar,Rename Package,Renombrar Folder,Item Borrar,Folder Expand,Expandir Todos,Todos Collapsar,Mostrar en Explorador
Girar,Mover,Calibrar,Mundo,Locales,Coordenadas Camara,Destacar,Luz,Guardar,Abrir,Create Project,Recargar Proyecto,Deshacer accion,Rehacer accion,IDE,Juego Recargar,Build,Contruir y Comenzar,Cancelar Build,Package Create,Crear Folder,Mostrar Propiedades,Paquete Renombrar,Renombrar Folder,Borrar Item,Folder Expandir,Expandir Todos,Collapse All,Show in Explorer
Rotate,Mover,Escalar,Coordenada Mundo,Coordenada Local,Camara,Escoger,Luz,Grabar,Abrir,Create Project,Recargar Proyecto,Undo Last Action,Rehacer,Abrir IDE,Juego Recargar,Build,Construir y Correr,Build Cancel,Create Package,Create Folder,Propiedades Mostrar,Rename Package,Renombrar Folder,Item Borrar,Folder Expand,Expand All,All Collapse,Show in Explorer
Rotar,Transladar,Redimensionar,World Coordinate,Locales,Camara Coordenada,Destacar,Iluminacion,Guardar,Iniciar,Create P,Recargar Proyecto,Undo Last Action,Rehacer,Abrir IDE,Recargar Juego,Contruir Proyecto,Contruir y Comenzar,Build Cancel,Paquete Crear,Crear Folder,Mostrar Propiedades,Renombrar Paquete,Renombrar Folder,Item Borrar,Folder Expandir,Expand All,Todos Collapsar,Mostrar en Explorador
Rotate,Move,Calibrar,Coordenada Mundo,Coordenadas Local,Coordenadas Camara,Destacar,Iluminacion,Save,Open,Create P,Reload Project,Undo,Rehacer accion,IDE,Reload Game,Proyecto Construir,Build and Start,Cancelar Build,Package Create,Create Folder,Property Display,Paquete Renombrar,Rename Folder,Item Borrar,Expand Folder,Todos Expandir,Todos Collapsar,Mostrar en Explorador
Girar,Translate,Redimensionar,World Coordinate,Local,Camera Coordinates,Escoger,Light,Grabar,Iniciar,Create Project,Reload Project,Undo Last Action,Redo Last Action,Abrir IDE,Game Reload,Proyecto Construir,Build and Run,Cancelar Build,Paquete Crear,Folder Crear,Property Display,Rename Package,Rename Folder,Borrar Item,Expandir Folder,Expandir Todos,Collapsar Todos,Show in Explorer
Girar,Move,Calibrar,Mundo,Coordenadas Local,Camara Coordenadas,Destacar,Alumbrado,Save,Open,Create P,Proyecto Recargar,Deshacer accion,Redo Last Action,Open IDE,Juego Recargar,Proyecto Construir,Construir y Correr,Build Cancelar,Package Create,Crear Folder,Display Property,Renombrar Paquete,Renombrar Folder,Delete Item,Expandir Folder,Todos Expandir,Todos Collapsar,Mostrar en Explorador
Rotar,Mover,Redimensionar,World Coordinates,Locales,Camara Coordenada,Destacar,Luz,Save,Open,Proyecto Crear,Recargar Proyecto,Undo,Redo Last Action,Abrir IDE,Game Reload,Build Project,Contruir y Comenzar,Build Cancel,Paquete Crear,Folder Crear,Display Property,Renombrar Paquete,Folder Renombrar,Item Borrar,Folder Expand,Expandir Todos,Collapse All,Mostrar en Explorador
Girar,Translate,Calibrar,Mundo,Local Coordinate,Camara Coordenada,Escoger,Light,Guardar,Abrir,Create P,Recargar Proyecto,Deshacer accion,Redo,Abrir IDE,Reload Game,Build Project,Build and Run,Build Cancel,Package Create,Folder Create,Property Display,Rename Package,Renombrar Folder,Item Borrar,Expandir Folder,Todos Expandir,Collapse All,Mostrar en Explorador
Voltear,Move,Escalar,Coordenada Mundo,Coordenada Local,Coordenada Camara,Destacar,Iluminacion,Grabar,Abrir,Create P,Reload Project,Undo Last Action,Rehacer accion,Open IDE,Reload Game,Build,Construir y Correr,Build Cancel,Crear Paquete,Folder Crear,Property Display,Package Rename,Folder Renombrar,Item Delete,Expandir Folder,All Expand,Todos Collapsar,Mostrar en Explorador
Rotar,Move,Escalar,World Coordinates,Local Coordinates,Camera Coordinates,Elegir,Iluminacion,Grabar,Iniciar,Crear Proyecto,Reload P,Deshacer,Redo Last Action,Abrir IDE,Reload Game,Build,Construir y Correr,Cancel Build,Paquete Crear,Create Folder,Propiedades Mostrar,Rename Package,Package Folder,Delete Item,Folder Expandir,All Expand,Todos Collapsar,Mostrar en Explorador
Voltear,Move,Calibrar,World Coordinates,Local,Camara Coordenadas,Elegir,Light,Grabar,Abrir,Create Project,Reload Project,Deshacer accion,Rehacer accion,IDE,Juego Recargar,Build,Construir y Correr,Build Cancelar,Crear Paquete,Crear Folder,Propiedades Mostrar,Renombrar Paquete,Folder Renombrar,Item Borrar,Folder Expandir,Expand All,Collapsar Todos,Mostrar en Explorador
Voltear,Mover,Redimensionar,World Coordinate,Local,Coordenadas Camara,Destacar,Light,Save,Empezar,Create P,Recargar Proyecto,Deshacer,Rehacer accion,IDE,Juego Recargar,Proyecto Construir,Contruir y Comenzar,Cancelar Build,Paquete Crear,Crear Folder,Mostrar Propiedades,Renombrar Paquete,Package Folder,Item Borrar,Folder Expand,Expandir Todos,Todos Collapsar,Mostrar en Explorador
Voltear,Transladar,Redimensionar,World View,Locales,Camara,Escoger,Alumbrado,Save,Empezar,Create P,Proyecto Recargar,Undo Last Action,Rehacer accion,Abrir IDE,Game Reload,Contruir Proyecto,Build and Start,Cancelar Build,Crear Paquete,Folder Crear,Property Display,Rename Package,Folder Renombrar,Item Borrar,Expandir Folder,Expandir Todos,Collapsar Todos,Explorador Mostrar
Voltear,Mover,Escalar,Mundo,Locales,Camara Coordenada,Destacar,Light,Registrar,Open,Create P,Reload Project,Undo,Redo,Abrir IDE,Juego Recargar,Contruir Proyecto,Build and Run,Build Cancel,Crear Paquete,Folder Create,Mostrar Propiedades,Rename Package,Folder Renombrar,Borrar Item,Expand Folder,Expand All,Collapsar Todos,Explorer Show
Voltear,Translate,Redimensionar,Coordenadas Mundo,Local,Camara Coordenadas,Elegir,Luz,Grabar,Empezar,Crear Proyecto,Recargar Proyecto,Deshacer,Redo Last Action,IDE,Reload Game,Contruir Proyecto,Construir y Correr,Cancelar Build,Paquete Crear,Folder Crear,Propiedades Mostrar,Renombrar Paquete,Rename Folder,Item Borrar,Expandir Folder,Expandir Todos,Collapsar Todos,Show in Explorer
Rotate,Move,Calibrar,World Coordinate,Locales,Coordenada Camara,Seleccionar,Light,Grabar,Iniciar,Proyecto Crear,Proyecto Recargar,Undo Last Action,Redo Last Action,IDE,Game Reload,Contruir Proyecto,Construir y Correr,Build Cancelar,Crear Paquete,Folder Crear,Propiedades Mostrar,Renombrar Paquete,Renombrar Folder,Item Borrar,Expand Folder,Expand All,Collapsar Todos,Explorador Mostrar
Voltear,Mover,Calibrar,World Coordinate,Coordenada Local,Coordenadas Camara,Elegir,Light,Save,Iniciar,Create Project,Proyecto Recargar,Undo Last Action,Rehacer,Open IDE,Juego Recargar,Contruir Proyecto,Contruir y Comenzar,Build Cancel,Package Create,Folder Crear,Mostrar Propiedades,Paquete Renombrar,Renombrar Folder,Item Delete,Folder Expandir,All Expand,Collapsar Todos,Explorador Mostrar
Rotate,Transladar,Escalar,Coordenada Mundo,Local Coordinates,Camara Coordenadas,Elegir,Iluminacion,Grabar,Open,Create P,Reload P,Undo Last Action,Redo,IDE,Juego Recargar,Contruir Proyecto,Construir y Correr,Cancelar Build,Package Create,Create Folder,Property Display,Package Rename,Package Folder,Item Borrar,Expand Folder,All Expand,Todos Collapsar,Show in Explorer
Rotate,Translate,Scale,Coordenadas Mundo,Coordenadas Local,Camara Coordenada,Escoger,Light,Save,Empezar,Create Project,Reload Project,Undo Last Action,Redo Last Action,IDE,Juego Recargar,Contruir Proyecto,Contruir y Comenzar,Build Cancelar,Paquete Crear,Crear Folder,Display Property,Rename Package,Rename Folder,Item Borrar,Expandir Folder,Todos Expandir,Collapsar Todos,Show in Explorer
Girar,Move,Redimensionar,World View,Coordenadas Local,Coordenada Camara,Escoger,Luz,Save,Open,Create P,Proyecto Recargar,Deshacer accion,Redo Last Action,IDE,Juego Recargar,Build Project,Construir y Correr,Cancelar Build,Paquete Crear,Crear Folder,Property Display,Renombrar Paquete,Package Folder,Item Borrar,Folder Expand,Todos Expandir,Todos Collapsar,Mostrar en Explorador
Voltear,Move,Calibrar,Coordenadas Mundo,Coordenada Local,Coordenadas Camara,Escoger,Luz,Save,Open,Create P,Reload P,Deshacer,Redo Last Action,Open IDE,Juego Recargar,Proyecto Construir,Construir y Correr,Build Cancelar,Paquete Crear,Crear Folder,Propiedades Mostrar,Rename Package,Package Folder,Item Delete,Expandir Folder,Expandir Todos,Collapsar Todos,Mostrar en Explorador
Girar,Move,Scale,World Coordinate,Local Coordinate,Camera Coordinates,Escoger,Luz,Save,Iniciar,Create P,Reload Project,Deshacer,Redo Last Action,IDE,Reload Game,Build,Construir y Correr,Build Cancel,Crear Paquete,Folder Create,Propiedades Mostrar,Paquete Renombrar,Renombrar Folder,Item Delete,Expandir Folder,All Expand,Collapsar Todos,Show in Explorer
Voltear,Move,Calibrar,Coordenadas Mundo,Coordenada Local,Coordenadas Camara,Destacar,Alumbrado,Save,Iniciar,Create P,Proyecto Recargar,Undo,Redo,IDE,Game Reload,Build Project,Contruir y Comenzar,Cancel Build,Crear Paquete,Folder Crear,Propiedades Mostrar,Rename Package,Folder Renombrar,Item Borrar,Folder Expand,Todos Expandir,All Collapse,Explorer Show
Rotate,Mover,Calibrar,Coordenada Mundo,Coordenadas Local,Coordenada Camara,Seleccionar,Luz,Grabar,Open,Create P,Recargar Proyecto,Deshacer accion,Redo Last Action,Abrir IDE,Game Reload,Contruir Proyecto,Contruir y Comenzar,Build Cancelar,Package Create,Folder Crear,Mostrar Propiedades,Rename Package,Folder Renombrar,Borrar Item,Folder Expandir,Expandir Todos,Todos Collapsar,Mostrar en Explorador
Girar,Mover,Calibrar,Coordenadas Mundo,Local Coordinate,Coordenada Camara,Destacar,Luz,Save,Iniciar,Proyecto Crear,Reload Project,Deshacer,Redo,Open IDE,Reload Game,Build,Build and Run,Build Cancelar,Crear Paquete,Crear Folder,Propiedades Mostrar,Rename Package,Renombrar Folder,Item Borrar,Folder Expand,Expand All,Collapsar Todos,Explorer Show
Rotate,Move,Redimensionar,Coordenada Mundo,Coordenadas Local,Coordenadas Camara,Escoger,Light,Registrar,Abrir,Create Project,Recargar Proyecto,Deshacer,Rehacer,IDE,Game Reload,Proyecto Construir,Build and Start,Cancel Build,Paquete Crear,Folder Crear,Mostrar Propiedades,Renombrar Paquete,Renombrar Folder,Item Borrar,Folder Expand,Expandir Todos,Todos Collapsar,Explorador Mostrar
Rotate,Move,Scale,Coordenadas Mundo,Local,Camera Coordinates,Escoger,Alumbrado,Grabar,Iniciar,Create Project,Reload P,Undo Last Action,Redo Last Action,Abrir IDE,Juego Recargar,Proyecto Construir,Build and Run,Cancelar Build,Paquete Crear,Create Folder,Propiedades Mostrar,Package Rename,Rename Folder,Delete Item,Expandir Folder,Expandir Todos,All Collapse,Mostrar en Explorador
Girar,Mover,Calibrar,Mundo,Local Coordinate,Coordenada Camara,Escoger,Luz,Save,Iniciar,Create P,Recargar Proyecto,Undo,Redo,Open IDE,Game Reload,Proyecto Construir,Contruir y Comenzar,Build Cancelar,Create Package,Create Folder,Propiedades Mostrar,Package Rename,Rename Folder,Borrar Item,Folder Expand,All Expand,All Collapse,Mostrar en Explorador
Rotate,Translate,Calibrar,Mundo,Coordenadas Local,Camara Coordenada,Elegir,Alumbrado,Grabar,Iniciar,Proyecto Crear,Proyecto Recargar,Undo Last Action,Rehacer,Open IDE,Game Reload,Proyecto Construir,Contruir y Comenzar,Build Cancelar,Crear Paquete,Folder Crear,Display Property,Paquete Renombrar,Renombrar Folder,Item Delete,Folder Expandir,Expand All,Todos Collapsar,Explorador Mostrar
Girar,Move,Escalar,Mundo,Locales,Coordenadas Camara,Escoger,Alumbrado,Save,Iniciar,Create Project,Reload Project,Undo Last Action,Redo Last Action,IDE,Reload Game,Build,Construir y Correr,Build Cancel,Create Package,Crear Folder,Display Property,Renombrar Paquete,Folder Renombrar,Item Borrar,Folder Expandir,Todos Expandir,Todos Collapsar,Mostrar en Explorador
Girar,Mover,Escalar,World Coordinate,Coordenadas Local,Camara,Destacar,Alumbrado,Grabar,Open,Create P,Recargar Proyecto,Deshacer accion,Rehacer accion,IDE,Recargar Juego,Build Project,Construir y Correr,Build Cancel,Crear Paquete,Create Folder,Display Property,Rename Package,Folder Renombrar,Item Borrar,Folder Expandir,Expand All,Todos Collapsar,Explorador Mostrar
Girar,Translate,Scale,Coordenadas Mundo,Local Coordinate,Camera Coordinates,Destacar,Light,Save,Iniciar,Create P,Reload P,Deshacer,Rehacer accion,Open IDE,Recargar Juego,Contruir Proyecto,Build and Start,Cancelar Build,Package Create,Crear Folder,Property Display,Package Rename,Renombrar Folder,Item Delete,Expand Folder,Todos Expandir,Collapse All,Explorer Show
Rotate,Move,Escalar,Coordenadas Mundo,Local Coordinate,Camara Coordenada,Elegir,Iluminacion,Guardar,Iniciar,Create P,Proyecto Recargar,Undo Last Action,Redo,IDE,Reload Game,Proyecto Construir,Construir y Correr,Build Cancelar,Paquete Crear,Folder Create,Property Display,Rename Package,Folder Renombrar,Borrar Item,Expandir Folder,Expand All,Todos Collapsar,Explorer Show
Voltear,Move,Escalar,World Coordinates,Coordenadas Local,Camara,Destacar,Luz,Grabar,Iniciar,Create P,Reload P,Undo Last Action,Rehacer,IDE,Juego Recargar,Proyecto Construir,Build and Run,Cancel Build,Crear Paquete,Crear Folder,Display Property,Package Rename,Package Folder,Item Borrar,Folder Expandir,Expand All,Todos Collapsar,Show in Explorer
Voltear,Translate,Calibrar,World View,Coordenada Local,Camara Coordenada,Escoger,Iluminacion,Registrar,Abrir,Create P,Reload Project,Deshacer,Redo Last Action,IDE,Game Reload,Build Project,Build and Run,Build Cancelar,Package Create,Folder Crear,Propiedades Mostrar,Renombrar Paquete,Package Folder,Delete Item,Folder Expandir,Todos Expandir,Collapse All,Explorador Mostrar
Rotate,Transladar,Calibrar,World Coordinate,Locales,Camara Coordenada,Escoger,Iluminacion,Save,Iniciar,Create P,Recargar Proyecto,Deshacer accion,Rehacer,IDE,Game Reload,Contruir Proyecto,Build and Run,Build Cancelar,Crear Paquete,Create Folder,Mostrar Propiedades,Package Rename,Rename Folder,Item Borrar,Folder Expandir,Expand All,Todos Collapsar,Mostrar en Explorador
Girar,Translate,Redimensionar,World Coordinates,Local Coordinate,Camera Coordinates,Destacar,Luz,Registrar,Open,Create Project,Reload P,Deshacer,Redo Last Action,Abrir IDE,Reload Game,Contruir Proyecto,Build and Start,Cancelar Build,Create Package,Folder Crear,Propiedades Mostrar,Rename Package,Rename Folder,Item Borrar,Expandir Folder,All Expand,Todos Collapsar,Mostrar en Explorador
Voltear,Move,Calibrar,Mundo,Local Coordinate,Camara Coordenada,Escoger,Luz,Grabar,Abrir,Proyecto Crear,Reload P,Deshacer,Redo,Open IDE,Game Reload,Proyecto Construir,Construir y Correr,Cancel Build,Crear Paquete,Crear Folder,Mostrar Propiedades,Renombrar Paquete,Rename Folder,Item Borrar,Folder Expandir,All Expand,Collapse All,Explorador Mostrar
Rotate,Transladar,Calibrar,Mundo,Local Coordinate,Camara Coordenada,Escoger,Iluminacion,Grabar,Iniciar,Create P,Reload P,Deshacer,Rehacer accion,Abrir IDE,Game Reload,Contruir Proyecto,Build and Start,Cancelar Build,Package Create,Create Folder,Propiedades Mostrar,Package Rename,Renombrar Folder,Item Borrar,Expand Folder,All Expand,Todos Collapsar,Explorador Mostrar
Girar,Transladar,Redimensionar,World Coordinate,Local,Coordenadas Camara,Destacar,Luz,Grabar,Abrir,Crear Proyecto,Reload Project,Deshacer,Redo,Open IDE,Juego Recargar,Proyecto Construir,Contruir y Comenzar,Cancel Build,Create Package,Folder Crear,Mostrar Propiedades,Renombrar Paquete,Folder Renombrar,Item Borrar,Expand Folder,Todos Expandir,All Collapse,Explorador Mostrar
Voltear,Move,Scale,Mundo,Coordenadas Local,Camara Coordenada,Escoger,Luz,Save,Open,Create P,Proyecto Recargar,Undo,Redo,Abrir IDE,Reload Game,Build,Contruir y Comenzar,Cancelar Build,Package Create,Folder Create,Propiedades Mostrar,Paquete Renombrar,Folder Renombrar,Borrar Item,Expandir Folder,Expandir Todos,All Collapse,Mostrar en Explorador
